ticker,sector,category,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,dp_pct_cv,avg_block_count,avg_pcr,avg_combined_score
COR,Healthcare,C,7,0,0.00,7,1.00,0.00,0.00,0.0,0.312,87.3
CORZ,Technology,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.564,79.0
COST,Consumer Defensive,C,9,1,0.11,9,1.00,0.25,0.00,0.0,1.034,79.1
CP,Industrials,C,10,0,0.00,10,1.00,0.00,0.00,0.0,0.736,80.4
CPA,Industrials,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.286,88.0
CPAY,Technology,C,9,0,0.00,9,1.00,0.00,0.00,0.0,0.881,83.1
CPRX,Healthcare,C,14,0,0.00,14,1.00,0.00,0.00,0.0,0.444,81.2
CPT,Real Estate,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.227,86.5
CRC,Energy,C,15,0,0.00,15,1.00,0.00,0.00,0.0,0.117,87.7
CRCL,Financial Services,C,3,1,0.33,3,1.00,0.06,0.00,0.0,0.775,76.2
CRGY,Energy,C,17,0,0.00,17,1.00,0.00,0.00,0.0,0.201,83.1
CRH,Basic Materials,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.680,78.5
CRK,Energy,C,7,0,0.00,7,1.00,0.00,0.00,0.0,0.169,92.4
CRL,Healthcare,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.105,73.8
